Handle,Title,Body (HTML),Vendor,Type,Tags,SEO Title,SEO Description
mens-wedding-band-88,Argyle Diamond Wedding Band in 14K Gold,"<p>The Argyle Diamond Wedding Band is a 5mm men's wedding band in 14K or 18K yellow, white, or rose gold, from $1,500. An argyle grid with small carved diamonds set at each intersection, alternating between bright and textured facets. Detailed, symmetrical, and reads well at any distance.</p><h3>Specifications</h3><table><tr><td style=""padding:6px 16px 6px 0""><strong>Band Width</strong></td><td style=""padding:6px 0"">5mm (custom widths by request)</td></tr><tr><td style=""padding:6px 16px 6px 0""><strong>Pattern</strong></td><td style=""padding:6px 0"">Argyle Diamond</td></tr><tr><td style=""padding:6px 16px 6px 0""><strong>Finish</strong></td><td style=""padding:6px 0"">Carved and faceted argyle</td></tr><tr><td style=""padding:6px 16px 6px 0""><strong>Metal Type</strong></td><td style=""padding:6px 0"">14K or 18K yellow, white, or rose gold</td></tr><tr><td style=""padding:6px 16px 6px 0""><strong>Ring Sizes</strong></td><td style=""padding:6px 0"">8.5 to 13</td></tr></table><h3>Choose your metal color</h3><p>Made to order in <strong>14K or 18K yellow, white, or rose gold</strong>. The photograph shows one metal color; every style is cut in all of them. Choose your color at checkout, or message us and we will send a rendering in your color before we cut.</p><h3>14K or 18K: which should you choose?</h3><p>14K gold is 58.3% pure and alloyed with harder metals, which makes it more scratch resistant and the better choice for anyone who works with their hands. 18K is 75% pure, noticeably warmer and deeper in color, and heavier on the finger. It is softer, so it marks more readily over time. On a carved band the extra depth of color in 18K makes the pattern read with more contrast. Both are made to the same tolerances here; the difference is character and durability, not quality.</p>",Laura Milman New York,Rings,"argyle ring,mens wedding band,geometric wedding band,diamond cut wedding band,14k gold band,Yellow Gold,Rose Gold,Mens Wedding Bands",Argyle Diamond Wedding Band | 14K & 18K Gold,"Argyle pattern wedding band in 14K or 18K gold. 5mm, made to order in yellow, white, or rose gold."
mens-wedding-band-89,Linen Texture Wedding Band in 14K Gold,"<p>The Linen Texture Wedding Band is a 5mm men's wedding band in 14K or 18K yellow, white, or rose gold, from $1,500. A crosshatched linen texture is worked across the entire surface, fine enough to read as woven fabric rather than cut metal. Completely matte and very tactile.</p><h3>Specifications</h3><table><tr><td style=""padding:6px 16px 6px 0""><strong>Band Width</strong></td><td style=""padding:6px 0"">5mm (custom widths by request)</td></tr><tr><td style=""padding:6px 16px 6px 0""><strong>Pattern</strong></td><td style=""padding:6px 0"">Linen Texture</td></tr><tr><td style=""padding:6px 16px 6px 0""><strong>Finish</strong></td><td style=""padding:6px 0"">All-over linen texture</td></tr><tr><td style=""padding:6px 16px 6px 0""><strong>Metal Type</strong></td><td style=""padding:6px 0"">14K or 18K yellow, white, or rose gold</td></tr><tr><td style=""padding:6px 16px 6px 0""><strong>Ring Sizes</strong></td><td style=""padding:6px 0"">8.5 to 13</td></tr></table><h3>Choose your metal color</h3><p>Made to order in <strong>14K or 18K yellow, white, or rose gold</strong>. The photograph shows one metal color; every style is cut in all of them. Choose your color at checkout, or message us and we will send a rendering in your color before we cut.</p><h3>14K or 18K: which should you choose?</h3><p>14K gold is 58.3% pure and alloyed with harder metals, which makes it more scratch resistant and the better choice for anyone who works with their hands. 18K is 75% pure, noticeably warmer and deeper in color, and heavier on the finger. It is softer, so it marks more readily over time. On a carved band the extra depth of color in 18K makes the pattern read with more contrast. Both are made to the same tolerances here; the difference is character and durability, not quality.</p>",Laura Milman New York,Rings,"textured wedding band,mens wedding band,matte wedding band,woven ring,14k gold band,Yellow Gold,Rose Gold,Mens Wedding Bands",Linen Texture Wedding Band | 14K & 18K Gold,"Linen textured wedding band in 14K or 18K gold. Made to order in yellow, white, or rose gold."
mens-wedding-band-90,Staggered Brick Wedding Band in 14K Gold,"<p>The Staggered Brick Wedding Band is a 5mm men's wedding band in 14K or 18K yellow, white, or rose gold, from $1,500. Rows of small polished blocks are set in a staggered brick pattern across a wide band, each row offset from the last. Reads almost like a bracelet link.</p><h3>Specifications</h3><table><tr><td style=""padding:6px 16px 6px 0""><strong>Band Width</strong></td><td style=""padding:6px 0"">5mm (custom widths by request)</td></tr><tr><td style=""padding:6px 16px 6px 0""><strong>Pattern</strong></td><td style=""padding:6px 0"">Staggered Brick</td></tr><tr><td style=""padding:6px 16px 6px 0""><strong>Finish</strong></td><td style=""padding:6px 0"">Staggered carved blocks</td></tr><tr><td style=""padding:6px 16px 6px 0""><strong>Metal Type</strong></td><td style=""padding:6px 0"">14K or 18K yellow, white, or rose gold</td></tr><tr><td style=""padding:6px 16px 6px 0""><strong>Ring Sizes</strong></td><td style=""padding:6px 0"">8.5 to 13</td></tr></table><h3>Choose your metal color</h3><p>Made to order in <strong>14K or 18K yellow, white, or rose gold</strong>. The photograph shows one metal color; every style is cut in all of them. Choose your color at checkout, or message us and we will send a rendering in your color before we cut.</p><h3>14K or 18K: which should you choose?</h3><p>14K gold is 58.3% pure and alloyed with harder metals, which makes it more scratch resistant and the better choice for anyone who works with their hands. 18K is 75% pure, noticeably warmer and deeper in color, and heavier on the finger. It is softer, so it marks more readily over time. On a carved band the extra depth of color in 18K makes the pattern read with more contrast. Both are made to the same tolerances here; the difference is character and durability, not quality.</p>",Laura Milman New York,Rings,"mens wedding band,geometric wedding band,wide wedding band,modern mens ring,14k gold band,Yellow Gold,Rose Gold,Mens Wedding Bands",Staggered Brick Wedding Band | 14K & 18K Gold,"Staggered brick pattern wedding band in 14K or 18K gold. Made to order in yellow, white, or rose gold."
mens-wedding-band-91,Woven Mesh Wedding Band in 14K Gold,"<p>The Woven Mesh Wedding Band is a 5mm men's wedding band in 14K or 18K yellow, white, or rose gold, from $1,500. A fine mesh texture covers the center of the band from edge to edge, dense enough to read as woven wire. Framed by narrow polished borders.</p><h3>Specifications</h3><table><tr><td style=""padding:6px 16px 6px 0""><strong>Band Width</strong></td><td style=""padding:6px 0"">5mm (custom widths by request)</td></tr><tr><td style=""padding:6px 16px 6px 0""><strong>Pattern</strong></td><td style=""padding:6px 0"">Woven Mesh</td></tr><tr><td style=""padding:6px 16px 6px 0""><strong>Finish</strong></td><td style=""padding:6px 0"">Fine mesh texture</td></tr><tr><td style=""padding:6px 16px 6px 0""><strong>Metal Type</strong></td><td style=""padding:6px 0"">14K or 18K yellow, white, or rose gold</td></tr><tr><td style=""padding:6px 16px 6px 0""><strong>Ring Sizes</strong></td><td style=""padding:6px 0"">8.5 to 13</td></tr></table><h3>Choose your metal color</h3><p>Made to order in <strong>14K or 18K yellow, white, or rose gold</strong>. The photograph shows one metal color; every style is cut in all of them. Choose your color at checkout, or message us and we will send a rendering in your color before we cut.</p><h3>14K or 18K: which should you choose?</h3><p>14K gold is 58.3% pure and alloyed with harder metals, which makes it more scratch resistant and the better choice for anyone who works with their hands. 18K is 75% pure, noticeably warmer and deeper in color, and heavier on the finger. It is softer, so it marks more readily over time. On a carved band the extra depth of color in 18K makes the pattern read with more contrast. Both are made to the same tolerances here; the difference is character and durability, not quality.</p>",Laura Milman New York,Rings,"textured wedding band,mens wedding band,mesh ring,woven wedding band,14k gold band,Yellow Gold,Rose Gold,Mens Wedding Bands",Woven Mesh Wedding Band | 14K & 18K Gold,"Woven mesh textured wedding band in 14K or 18K gold. 5mm, made to order in yellow, white, or rose gold."
mens-wedding-band-92,Celtic Heart Wedding Band in 14K Gold,"<p>The Celtic Heart Wedding Band is a 5mm men's wedding band in 14K or 18K yellow, white, or rose gold, from $1,500. Interlaced heart knots carved in bold relief around a wide band, each heart flowing into the next in an unbroken chain. Traditional Celtic symbolism at a substantial scale.</p><h3>Specifications</h3><table><tr><td style=""padding:6px 16px 6px 0""><strong>Band Width</strong></td><td style=""padding:6px 0"">5mm (custom widths by request)</td></tr><tr><td style=""padding:6px 16px 6px 0""><strong>Pattern</strong></td><td style=""padding:6px 0"">Celtic Heart</td></tr><tr><td style=""padding:6px 16px 6px 0""><strong>Finish</strong></td><td style=""padding:6px 0"">Deep carved knotwork</td></tr><tr><td style=""padding:6px 16px 6px 0""><strong>Metal Type</strong></td><td style=""padding:6px 0"">14K or 18K yellow, white, or rose gold</td></tr><tr><td style=""padding:6px 16px 6px 0""><strong>Ring Sizes</strong></td><td style=""padding:6px 0"">8.5 to 13</td></tr></table><h3>Choose your metal color</h3><p>Made to order in <strong>14K or 18K yellow, white, or rose gold</strong>. The photograph shows one metal color; every style is cut in all of them. Choose your color at checkout, or message us and we will send a rendering in your color before we cut.</p><h3>14K or 18K: which should you choose?</h3><p>14K gold is 58.3% pure and alloyed with harder metals, which makes it more scratch resistant and the better choice for anyone who works with their hands. 18K is 75% pure, noticeably warmer and deeper in color, and heavier on the finger. It is softer, so it marks more readily over time. On a carved band the extra depth of color in 18K makes the pattern read with more contrast. Both are made to the same tolerances here; the difference is character and durability, not quality.</p>",Laura Milman New York,Rings,"celtic wedding band,celtic heart knot,irish wedding band,mens wedding band,14k gold band,Yellow Gold,Rose Gold,Mens Wedding Bands",Celtic Heart Wedding Band | 14K & 18K Gold,"Carved Celtic heart knot wedding band in 14K or 18K gold. Made to order in yellow, white, or rose gold."
mens-wedding-band-93,Celtic Scroll Wedding Band in 14K Gold,"<p>The Celtic Scroll Wedding Band is a 5mm men's wedding band in 14K or 18K yellow, white, or rose gold, from $1,500. Celtic scrollwork carved across the full width in flowing curves, less rigidly geometric than the knot patterns and closer to illuminated manuscript work.</p><h3>Specifications</h3><table><tr><td style=""padding:6px 16px 6px 0""><strong>Band Width</strong></td><td style=""padding:6px 0"">5mm (custom widths by request)</td></tr><tr><td style=""padding:6px 16px 6px 0""><strong>Pattern</strong></td><td style=""padding:6px 0"">Celtic Scroll</td></tr><tr><td style=""padding:6px 16px 6px 0""><strong>Finish</strong></td><td style=""padding:6px 0"">Carved scroll relief</td></tr><tr><td style=""padding:6px 16px 6px 0""><strong>Metal Type</strong></td><td style=""padding:6px 0"">14K or 18K yellow, white, or rose gold</td></tr><tr><td style=""padding:6px 16px 6px 0""><strong>Ring Sizes</strong></td><td style=""padding:6px 0"">8.5 to 13</td></tr></table><h3>Choose your metal color</h3><p>Made to order in <strong>14K or 18K yellow, white, or rose gold</strong>. The photograph shows one metal color; every style is cut in all of them. Choose your color at checkout, or message us and we will send a rendering in your color before we cut.</p><h3>14K or 18K: which should you choose?</h3><p>14K gold is 58.3% pure and alloyed with harder metals, which makes it more scratch resistant and the better choice for anyone who works with their hands. 18K is 75% pure, noticeably warmer and deeper in color, and heavier on the finger. It is softer, so it marks more readily over time. On a carved band the extra depth of color in 18K makes the pattern read with more contrast. Both are made to the same tolerances here; the difference is character and durability, not quality.</p>",Laura Milman New York,Rings,"celtic wedding band,scroll ring,carved wedding band,irish wedding band,14k gold band,Yellow Gold,Rose Gold,Mens Wedding Bands",Celtic Scroll Wedding Band | 14K & 18K Gold,"Carved Celtic scroll wedding band in 14K or 18K gold. Made to order in yellow, white, or rose gold."
mens-wedding-band-94,Tribal Geometric Wedding Band in 14K Gold,"<p>The Tribal Geometric Wedding Band is a 5mm men's wedding band in 14K or 18K yellow, white, or rose gold, from $1,500. A bold geometric pattern of interlocking angular forms is carved across a wide band, drawing on tribal and Celtic sources without belonging strictly to either.</p><h3>Specifications</h3><table><tr><td style=""padding:6px 16px 6px 0""><strong>Band Width</strong></td><td style=""padding:6px 0"">5mm (custom widths by request)</td></tr><tr><td style=""padding:6px 16px 6px 0""><strong>Pattern</strong></td><td style=""padding:6px 0"">Tribal Geometric</td></tr><tr><td style=""padding:6px 16px 6px 0""><strong>Finish</strong></td><td style=""padding:6px 0"">Deep carved geometric relief</td></tr><tr><td style=""padding:6px 16px 6px 0""><strong>Metal Type</strong></td><td style=""padding:6px 0"">14K or 18K yellow, white, or rose gold</td></tr><tr><td style=""padding:6px 16px 6px 0""><strong>Ring Sizes</strong></td><td style=""padding:6px 0"">8.5 to 13</td></tr></table><h3>Choose your metal color</h3><p>Made to order in <strong>14K or 18K yellow, white, or rose gold</strong>. The photograph shows one metal color; every style is cut in all of them. Choose your color at checkout, or message us and we will send a rendering in your color before we cut.</p><h3>14K or 18K: which should you choose?</h3><p>14K gold is 58.3% pure and alloyed with harder metals, which makes it more scratch resistant and the better choice for anyone who works with their hands. 18K is 75% pure, noticeably warmer and deeper in color, and heavier on the finger. It is softer, so it marks more readily over time. On a carved band the extra depth of color in 18K makes the pattern read with more contrast. Both are made to the same tolerances here; the difference is character and durability, not quality.</p>",Laura Milman New York,Rings,"tribal wedding band,geometric wedding band,mens wedding band,carved wedding band,14k gold band,Yellow Gold,Rose Gold,Mens Wedding Bands",Tribal Geometric Wedding Band | 14K & 18K Gold,"Tribal geometric wedding band carved in 14K or 18K gold. Made to order in yellow, white, or rose gold."
mens-wedding-band-95,Carved Filigree Scroll Wedding Band in 14K Gold,"<p>The Carved Filigree Scroll Wedding Band is a 5mm men's wedding band in 14K or 18K yellow, white, or rose gold, from $1,500. Open filigree scrollwork carved in generous sweeping curves across the band, leaving plenty of polished ground between the lines so the pattern stays light.</p><h3>Specifications</h3><table><tr><td style=""padding:6px 16px 6px 0""><strong>Band Width</strong></td><td style=""padding:6px 0"">5mm (custom widths by request)</td></tr><tr><td style=""padding:6px 16px 6px 0""><strong>Pattern</strong></td><td style=""padding:6px 0"">Filigree Scroll</td></tr><tr><td style=""padding:6px 16px 6px 0""><strong>Finish</strong></td><td style=""padding:6px 0"">Carved open filigree</td></tr><tr><td style=""padding:6px 16px 6px 0""><strong>Metal Type</strong></td><td style=""padding:6px 0"">14K or 18K yellow, white, or rose gold</td></tr><tr><td style=""padding:6px 16px 6px 0""><strong>Ring Sizes</strong></td><td style=""padding:6px 0"">8.5 to 13</td></tr></table><h3>Choose your metal color</h3><p>Made to order in <strong>14K or 18K yellow, white, or rose gold</strong>. The photograph shows one metal color; every style is cut in all of them. Choose your color at checkout, or message us and we will send a rendering in your color before we cut.</p><h3>14K or 18K: which should you choose?</h3><p>14K gold is 58.3% pure and alloyed with harder metals, which makes it more scratch resistant and the better choice for anyone who works with their hands. 18K is 75% pure, noticeably warmer and deeper in color, and heavier on the finger. It is softer, so it marks more readily over time. On a carved band the extra depth of color in 18K makes the pattern read with more contrast. Both are made to the same tolerances here; the difference is character and durability, not quality.</p>",Laura Milman New York,Rings,"filigree wedding band,scroll ring,carved wedding band,mens wedding band,14k gold band,Yellow Gold,Rose Gold,Mens Wedding Bands",Filigree Scroll Wedding Band | 14K & 18K Gold,"Carved filigree scroll wedding band in 14K or 18K gold. 5mm, made to order in yellow, white, or rose gold."
mens-wedding-band-96,"Celtic Braid Wedding Band in 14K Gold, Wide","<p>The Celtic Braid Wedding Band is a 5mm men's wedding band in 14K or 18K yellow, white, or rose gold, from $1,500. A wide, multi-strand Celtic braid carved across the full width, the strands genuinely interlacing rather than sitting side by side. The most traditional Irish design we offer.</p><h3>Specifications</h3><table><tr><td style=""padding:6px 16px 6px 0""><strong>Band Width</strong></td><td style=""padding:6px 0"">5mm (custom widths by request)</td></tr><tr><td style=""padding:6px 16px 6px 0""><strong>Pattern</strong></td><td style=""padding:6px 0"">Wide Celtic Braid</td></tr><tr><td style=""padding:6px 16px 6px 0""><strong>Finish</strong></td><td style=""padding:6px 0"">Deep carved braided knotwork</td></tr><tr><td style=""padding:6px 16px 6px 0""><strong>Metal Type</strong></td><td style=""padding:6px 0"">14K or 18K yellow, white, or rose gold</td></tr><tr><td style=""padding:6px 16px 6px 0""><strong>Ring Sizes</strong></td><td style=""padding:6px 0"">8.5 to 13</td></tr></table><h3>Choose your metal color</h3><p>Made to order in <strong>14K or 18K yellow, white, or rose gold</strong>. The photograph shows one metal color; every style is cut in all of them. Choose your color at checkout, or message us and we will send a rendering in your color before we cut.</p><h3>14K or 18K: which should you choose?</h3><p>14K gold is 58.3% pure and alloyed with harder metals, which makes it more scratch resistant and the better choice for anyone who works with their hands. 18K is 75% pure, noticeably warmer and deeper in color, and heavier on the finger. It is softer, so it marks more readily over time. On a carved band the extra depth of color in 18K makes the pattern read with more contrast. Both are made to the same tolerances here; the difference is character and durability, not quality.</p>",Laura Milman New York,Rings,"celtic wedding band,celtic braid ring,irish wedding band,wide wedding band,14k gold band,Yellow Gold,Rose Gold,Mens Wedding Bands",Wide Celtic Braid Wedding Band | 14K & 18K Gold,"Wide carved Celtic braid wedding band in 14K or 18K gold. Made to order in yellow, white, or rose gold."
mens-wedding-band-97,Basketweave Texture Wedding Band in 14K Gold,"<p>The Basketweave Texture Wedding Band is a 5mm men's wedding band in 14K or 18K yellow, white, or rose gold, from $1,500. A fine basketweave texture is worked edge to edge across the band, regular and tightly spaced. Matte, tactile, and one of the easiest patterns to wear daily.</p><h3>Specifications</h3><table><tr><td style=""padding:6px 16px 6px 0""><strong>Band Width</strong></td><td style=""padding:6px 0"">5mm (custom widths by request)</td></tr><tr><td style=""padding:6px 16px 6px 0""><strong>Pattern</strong></td><td style=""padding:6px 0"">Basketweave Texture</td></tr><tr><td style=""padding:6px 16px 6px 0""><strong>Finish</strong></td><td style=""padding:6px 0"">Fine basketweave texture</td></tr><tr><td style=""padding:6px 16px 6px 0""><strong>Metal Type</strong></td><td style=""padding:6px 0"">14K or 18K yellow, white, or rose gold</td></tr><tr><td style=""padding:6px 16px 6px 0""><strong>Ring Sizes</strong></td><td style=""padding:6px 0"">8.5 to 13</td></tr></table><h3>Choose your metal color</h3><p>Made to order in <strong>14K or 18K yellow, white, or rose gold</strong>. The photograph shows one metal color; every style is cut in all of them. Choose your color at checkout, or message us and we will send a rendering in your color before we cut.</p><h3>14K or 18K: which should you choose?</h3><p>14K gold is 58.3% pure and alloyed with harder metals, which makes it more scratch resistant and the better choice for anyone who works with their hands. 18K is 75% pure, noticeably warmer and deeper in color, and heavier on the finger. It is softer, so it marks more readily over time. On a carved band the extra depth of color in 18K makes the pattern read with more contrast. Both are made to the same tolerances here; the difference is character and durability, not quality.</p>",Laura Milman New York,Rings,"textured wedding band,basketweave ring,mens wedding band,matte wedding band,14k gold band,Yellow Gold,Rose Gold,Mens Wedding Bands",Basketweave Texture Wedding Band | 14K & 18K Gold,"Basketweave textured wedding band in 14K or 18K gold. Made to order in yellow, white, or rose gold."
mens-wedding-band-98,Carved Infinity Wedding Band in 14K White Gold,"<p>The Carved Infinity Wedding Band is a 5mm men's wedding band in 14K or 18K yellow, white, or rose gold, from $1,500. Linked infinity loops are carved around a slim white gold band, spaced so each loop reads on its own. Understated, and one of the lighter pieces in the collection.</p><h3>Specifications</h3><table><tr><td style=""padding:6px 16px 6px 0""><strong>Band Width</strong></td><td style=""padding:6px 0"">5mm (custom widths by request)</td></tr><tr><td style=""padding:6px 16px 6px 0""><strong>Pattern</strong></td><td style=""padding:6px 0"">Carved Infinity</td></tr><tr><td style=""padding:6px 16px 6px 0""><strong>Finish</strong></td><td style=""padding:6px 0"">Carved relief on satin ground</td></tr><tr><td style=""padding:6px 16px 6px 0""><strong>Metal Type</strong></td><td style=""padding:6px 0"">14K or 18K yellow, white, or rose gold</td></tr><tr><td style=""padding:6px 16px 6px 0""><strong>Ring Sizes</strong></td><td style=""padding:6px 0"">8.5 to 13</td></tr></table><h3>Choose your metal color</h3><p>Made to order in <strong>14K or 18K yellow, white, or rose gold</strong>. The photograph shows one metal color; every style is cut in all of them. Choose your color at checkout, or message us and we will send a rendering in your color before we cut.</p><h3>14K or 18K: which should you choose?</h3><p>14K gold is 58.3% pure and alloyed with harder metals, which makes it more scratch resistant and the better choice for anyone who works with their hands. 18K is 75% pure, noticeably warmer and deeper in color, and heavier on the finger. It is softer, so it marks more readily over time. On a carved band the extra depth of color in 18K makes the pattern read with more contrast. Both are made to the same tolerances here; the difference is character and durability, not quality.</p>",Laura Milman New York,Rings,"white gold wedding band,infinity wedding band,mens wedding band,carved wedding band,14k white gold,White Gold,Rose Gold,Mens Wedding Bands",Carved Infinity Wedding Band | 14K White Gold,"Carved infinity wedding band in 14K or 18K white gold. 5mm, also made to order in yellow or rose gold."
mens-wedding-band-99,Greek Key Wedding Band in 14K White Gold,"<p>The Greek Key Wedding Band is a 5mm men's wedding band in 14K or 18K yellow, white, or rose gold, from $1,500. A carved Greek key runs through the recessed center of this white gold band, framed by bright polished rails that lift the geometry and shield the carving.</p><h3>Specifications</h3><table><tr><td style=""padding:6px 16px 6px 0""><strong>Band Width</strong></td><td style=""padding:6px 0"">5mm (custom widths by request)</td></tr><tr><td style=""padding:6px 16px 6px 0""><strong>Pattern</strong></td><td style=""padding:6px 0"">Greek Key</td></tr><tr><td style=""padding:6px 16px 6px 0""><strong>Finish</strong></td><td style=""padding:6px 0"">Carved meander in recessed channel</td></tr><tr><td style=""padding:6px 16px 6px 0""><strong>Metal Type</strong></td><td style=""padding:6px 0"">14K or 18K yellow, white, or rose gold</td></tr><tr><td style=""padding:6px 16px 6px 0""><strong>Ring Sizes</strong></td><td style=""padding:6px 0"">8.5 to 13</td></tr></table><h3>Choose your metal color</h3><p>Made to order in <strong>14K or 18K yellow, white, or rose gold</strong>. The photograph shows one metal color; every style is cut in all of them. Choose your color at checkout, or message us and we will send a rendering in your color before we cut.</p><h3>14K or 18K: which should you choose?</h3><p>14K gold is 58.3% pure and alloyed with harder metals, which makes it more scratch resistant and the better choice for anyone who works with their hands. 18K is 75% pure, noticeably warmer and deeper in color, and heavier on the finger. It is softer, so it marks more readily over time. On a carved band the extra depth of color in 18K makes the pattern read with more contrast. Both are made to the same tolerances here; the difference is character and durability, not quality.</p>",Laura Milman New York,Rings,"greek key wedding band,white gold wedding band,mens wedding band,meander ring,14k white gold,White Gold,Rose Gold,Mens Wedding Bands",Greek Key Wedding Band | 14K White Gold,Carved Greek key wedding band in 14K or 18K white gold. Also made to order in yellow or rose gold.
mens-wedding-band-100,Carved Cross Wedding Band in 14K White Gold,"<p>The Carved Cross Wedding Band is a 5mm men's wedding band in 14K or 18K yellow, white, or rose gold, or platinum, from $1,500. Latin crosses are carved at intervals around a satin white gold band, spaced widely so the motif reads clearly without becoming the whole design.</p><h3>Specifications</h3><table><tr><td style=""padding:6px 16px 6px 0""><strong>Band Width</strong></td><td style=""padding:6px 0"">5mm (custom widths by request)</td></tr><tr><td style=""padding:6px 16px 6px 0""><strong>Pattern</strong></td><td style=""padding:6px 0"">Carved Cross</td></tr><tr><td style=""padding:6px 16px 6px 0""><strong>Finish</strong></td><td style=""padding:6px 0"">Carved relief on satin ground</td></tr><tr><td style=""padding:6px 16px 6px 0""><strong>Metal Type</strong></td><td style=""padding:6px 0"">14K or 18K yellow, white, or rose gold, or platinum</td></tr><tr><td style=""padding:6px 16px 6px 0""><strong>Ring Sizes</strong></td><td style=""padding:6px 0"">8.5 to 13</td></tr></table><h3>Choose your metal color</h3><p>Made to order in <strong>14K or 18K yellow, white, or rose gold, or platinum</strong>. The photograph shows one metal color; every style is cut in all of them. Choose your color at checkout, or message us and we will send a rendering in your color before we cut.</p><h3>14K or 18K: which should you choose?</h3><p>14K gold is 58.3% pure and alloyed with harder metals, which makes it more scratch resistant and the better choice for anyone who works with their hands. 18K is 75% pure, noticeably warmer and deeper in color, and heavier on the finger. It is softer, so it marks more readily over time. On a carved band the extra depth of color in 18K makes the pattern read with more contrast. Both are made to the same tolerances here; the difference is character and durability, not quality.</p>",Laura Milman New York,Rings,"cross wedding band,christian wedding band,white gold wedding band,platinum wedding band,mens wedding band,White Gold,Rose Gold,Mens Wedding Bands,Platinum",Carved Cross Wedding Band | 14K White Gold & Platinum,"Cross wedding band carved in 14K or 18K white gold, or platinum. Also made to order in yellow or rose gold."
mens-wedding-band-101,Carved Scroll Wedding Band in 14K White Gold,"<p>The Carved Scroll Wedding Band is a 5mm men's wedding band in 14K or 18K yellow, white, or rose gold, from $1,500. Flowing scrollwork carved across a satin white gold band, framed by polished edges. Ornate detail in a cooler metal than the yellow gold version of the same pattern.</p><h3>Specifications</h3><table><tr><td style=""padding:6px 16px 6px 0""><strong>Band Width</strong></td><td style=""padding:6px 0"">5mm (custom widths by request)</td></tr><tr><td style=""padding:6px 16px 6px 0""><strong>Pattern</strong></td><td style=""padding:6px 0"">Carved Scroll</td></tr><tr><td style=""padding:6px 16px 6px 0""><strong>Finish</strong></td><td style=""padding:6px 0"">Carved scroll on satin ground</td></tr><tr><td style=""padding:6px 16px 6px 0""><strong>Metal Type</strong></td><td style=""padding:6px 0"">14K or 18K yellow, white, or rose gold</td></tr><tr><td style=""padding:6px 16px 6px 0""><strong>Ring Sizes</strong></td><td style=""padding:6px 0"">8.5 to 13</td></tr></table><h3>Choose your metal color</h3><p>Made to order in <strong>14K or 18K yellow, white, or rose gold</strong>. The photograph shows one metal color; every style is cut in all of them. Choose your color at checkout, or message us and we will send a rendering in your color before we cut.</p><h3>14K or 18K: which should you choose?</h3><p>14K gold is 58.3% pure and alloyed with harder metals, which makes it more scratch resistant and the better choice for anyone who works with their hands. 18K is 75% pure, noticeably warmer and deeper in color, and heavier on the finger. It is softer, so it marks more readily over time. On a carved band the extra depth of color in 18K makes the pattern read with more contrast. Both are made to the same tolerances here; the difference is character and durability, not quality.</p>",Laura Milman New York,Rings,"white gold wedding band,scroll ring,carved wedding band,mens wedding band,14k white gold,White Gold,Rose Gold,Mens Wedding Bands",Carved Scroll Wedding Band | 14K White Gold,Carved scroll wedding band in 14K or 18K white gold. Also made to order in yellow or rose gold.
mens-wedding-band-102,Carved Geometric Wedding Band in 14K White Gold,"<p>The Carved Geometric Wedding Band is a 5mm men's wedding band in 14K or 18K yellow, white, or rose gold, or platinum, from $1,500. Squares and diamonds are carved in an alternating grid across a satin white gold band, bordered by polished rails. Precise and modern.</p><h3>Specifications</h3><table><tr><td style=""padding:6px 16px 6px 0""><strong>Band Width</strong></td><td style=""padding:6px 0"">5mm (custom widths by request)</td></tr><tr><td style=""padding:6px 16px 6px 0""><strong>Pattern</strong></td><td style=""padding:6px 0"">Geometric</td></tr><tr><td style=""padding:6px 16px 6px 0""><strong>Finish</strong></td><td style=""padding:6px 0"">Carved geometric relief</td></tr><tr><td style=""padding:6px 16px 6px 0""><strong>Metal Type</strong></td><td style=""padding:6px 0"">14K or 18K yellow, white, or rose gold, or platinum</td></tr><tr><td style=""padding:6px 16px 6px 0""><strong>Ring Sizes</strong></td><td style=""padding:6px 0"">8.5 to 13</td></tr></table><h3>Choose your metal color</h3><p>Made to order in <strong>14K or 18K yellow, white, or rose gold, or platinum</strong>. The photograph shows one metal color; every style is cut in all of them. Choose your color at checkout, or message us and we will send a rendering in your color before we cut.</p><h3>14K or 18K: which should you choose?</h3><p>14K gold is 58.3% pure and alloyed with harder metals, which makes it more scratch resistant and the better choice for anyone who works with their hands. 18K is 75% pure, noticeably warmer and deeper in color, and heavier on the finger. It is softer, so it marks more readily over time. On a carved band the extra depth of color in 18K makes the pattern read with more contrast. Both are made to the same tolerances here; the difference is character and durability, not quality.</p>",Laura Milman New York,Rings,"geometric wedding band,white gold wedding band,platinum wedding band,mens wedding band,carved wedding band,White Gold,Rose Gold,Mens Wedding Bands,Platinum",Geometric Wedding Band | 14K White Gold & Platinum,"Carved geometric wedding band in 14K or 18K white gold, or platinum. Also made in yellow or rose gold."
